                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1048,                 2.4858,                 1.7649,                0.29426,                0.29722,                0.20459,                 0.0702,                 2.3092,                  2.179,                 1.8342,             0.00055238,             0.00055238,             0.00055238
                      2,                 2.0131,                 1.9404,                 1.7139,                0.25256,                0.28437,                0.20437,                0.06929,                 2.2894,                 2.3113,                 1.8803,              0.0010971,              0.0010971,              0.0010971
                      3,                 2.0097,                 1.9082,                 1.6966,                0.34254,                0.25893,                 0.2037,                0.07045,                 2.3971,                 2.2048,                  2.009,              0.0016308,              0.0016308,              0.0016308
                      4,                 1.9971,                 1.8969,                 1.6921,                0.27859,                0.32605,                0.20161,                0.06426,                 2.3459,                 2.1596,                 1.8977,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.9732,                 1.8732,                 1.6682,                0.30278,                0.29906,                 0.2219,                0.07937,                 2.1894,                 2.1524,                 1.8681,              0.0016175,              0.0016175,              0.0016175
                      6,                  1.947,                 1.8386,                 1.6746,                0.30674,                0.32551,                0.23049,                0.08306,                 2.2493,                 2.2043,                 1.8659,               0.001601,               0.001601,               0.001601
                      7,                 1.9106,                 1.8109,                  1.633,                0.33664,                0.32002,                0.23101,                0.08352,                 2.2194,                 2.2346,                 1.8186,              0.0015845,              0.0015845,              0.0015845
                      8,                   1.92,                 1.8135,                 1.6414,                0.34445,                0.34124,                0.27236,                0.10464,                 2.1586,                 1.9558,                 1.7941,               0.001568,               0.001568,               0.001568
                      9,                 1.8775,                 1.7759,                 1.6223,                0.36284,                0.33245,                0.26899,                0.09942,                 2.1858,                 2.1223,                 1.8319,              0.0015515,              0.0015515,              0.0015515
                     10,                  1.888,                 1.7676,                 1.6219,                0.35729,                   0.33,                0.26843,                 0.0981,                 2.2406,                 1.9492,                 1.8054,               0.001535,               0.001535,               0.001535
                     11,                 1.8792,                  1.752,                 1.6102,                0.34211,                0.36298,                0.29052,                0.11517,                 2.0235,                 1.9936,                 1.6962,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.8515,                 1.7273,                 1.5954,                0.32584,                0.34487,                0.23411,                0.08963,                  2.129,                 1.9867,                 1.7681,               0.001502,               0.001502,               0.001502
                     13,                 1.8573,                 1.7347,                 1.5912,                0.33328,                0.36534,                0.26257,                0.09526,                 2.1511,                 1.9003,                 1.7742,              0.0014855,              0.0014855,              0.0014855
                     14,                 1.8446,                 1.7236,                 1.5782,                0.40786,                0.37804,                0.31257,                0.12298,                 2.0677,                 1.8631,                 1.7259,               0.001469,               0.001469,               0.001469
                     15,                 1.8369,                 1.7051,                 1.5841,                0.33556,                0.35172,                 0.2641,                0.10211,                 2.1074,                 1.9752,                 1.7378,              0.0014525,              0.0014525,              0.0014525
                     16,                 1.8263,                 1.7021,                 1.5825,                0.33371,                0.35477,                0.28718,                0.11096,                 2.0549,                 1.9375,                 1.7054,               0.001436,               0.001436,               0.001436
                     17,                   1.82,                  1.669,                 1.5663,                0.39575,                0.38431,                0.31188,                0.12375,                 2.0741,                 1.8741,                 1.7264,              0.0014195,              0.0014195,              0.0014195
                     18,                 1.8162,                 1.6717,                 1.5674,                0.34161,                0.36469,                 0.2831,                0.10901,                  2.081,                  1.917,                 1.7172,              0.0014029,              0.0014029,              0.0014029
                     19,                 1.8041,                 1.6661,                 1.5544,                0.34577,                0.35594,                0.28314,                0.11286,                 2.0694,                 1.8835,                 1.7366,              0.0013864,              0.0013864,              0.0013864
                     20,                 1.7971,                 1.6247,                  1.549,                0.35134,                0.36742,                0.28953,                0.11185,                  2.125,                 1.8981,                 1.7666,              0.0013699,              0.0013699,              0.0013699
                     21,                  1.797,                 1.6496,                 1.5609,                0.37905,                0.37898,                0.30674,                0.11728,                 2.0741,                  1.852,                 1.7445,              0.0013534,              0.0013534,              0.0013534
                     22,                  1.773,                 1.6137,                 1.5374,                0.41347,                0.36953,                0.31346,                0.12155,                 2.0848,                 1.8897,                 1.7201,              0.0013369,              0.0013369,              0.0013369
                     23,                 1.7778,                 1.6045,                 1.5359,                0.35622,                0.35184,                0.28196,                0.10902,                 2.1369,                 1.9378,                 1.7664,              0.0013204,              0.0013204,              0.0013204
                     24,                 1.7507,                 1.5935,                 1.5273,                0.37079,                0.33701,                0.29412,                0.11718,                 2.1173,                 1.8643,                 1.7471,              0.0013039,              0.0013039,              0.0013039
                     25,                 1.7668,                 1.6066,                 1.5327,                0.36651,                0.39133,                0.29333,                0.11584,                 2.0385,                 1.8557,                   1.71,              0.0012874,              0.0012874,              0.0012874
                     26,                 1.7438,                  1.591,                 1.5222,                0.36051,                0.39486,                0.30323,                0.11215,                 2.0599,                 1.9119,                 1.7357,              0.0012709,              0.0012709,              0.0012709
                     27,                 1.7583,                 1.5705,                 1.5256,                0.33982,                0.34478,                0.28258,                0.11087,                 2.1058,                 1.9017,                 1.7255,              0.0012544,              0.0012544,              0.0012544
