                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1071,                 2.1577,                  1.906,                0.00755,                0.26666,                0.00471,                0.00176,                  3.558,                    inf,                 4.5267,             0.00055238,             0.00055238,             0.00055238
                      2,                 2.1388,                 2.0505,                 1.9168,                0.20492,                0.29522,                0.14192,                0.04457,                  2.536,                 3.0446,                 2.2576,              0.0011026,              0.0011026,              0.0011026
                      3,                 2.1246,                 2.0212,                 1.8784,                0.21726,                0.27089,                0.16289,                0.05735,                 2.3283,                 3.1768,                 2.0462,              0.0016472,              0.0016472,              0.0016472
                      4,                 2.0512,                 1.9617,                 1.8351,                 0.3207,                 0.3019,                0.23992,                0.07782,                 2.3537,                 2.1388,                  2.041,              0.0016422,              0.0016422,              0.0016422
                      5,                 2.0115,                 1.9272,                 1.8028,                0.29436,                 0.3062,                 0.2248,                0.08218,                  2.239,                 2.1343,                 2.0078,              0.0016422,              0.0016422,              0.0016422
                      6,                 1.9742,                 1.8694,                 1.7622,                0.30184,                0.30688,                0.23219,                0.07888,                 2.2581,                 2.2065,                 1.9754,               0.001634,               0.001634,               0.001634
                      7,                 1.9444,                 1.8499,                 1.7434,                0.31462,                 0.3051,                0.24569,                0.08553,                 2.2772,                 2.0436,                 1.9644,              0.0016257,              0.0016257,              0.0016257
                      8,                 1.9271,                 1.8368,                 1.7417,                0.36567,                0.32451,                0.26586,                0.10419,                 2.1439,                 1.9646,                 1.9203,              0.0016175,              0.0016175,              0.0016175
                      9,                 1.9004,                  1.818,                 1.7321,                0.35863,                0.32314,                0.25301,                0.09209,                 2.1701,                  2.045,                 1.8829,              0.0016092,              0.0016092,              0.0016092
                     10,                 1.8999,                 1.7639,                  1.704,                0.33488,                0.30924,                0.26035,                0.08894,                 2.2161,                 2.1284,                 1.9045,               0.001601,               0.001601,               0.001601
                     11,                 1.8906,                 1.7804,                 1.7104,                0.28304,                0.33653,                0.24448,                0.09469,                 2.1221,                 2.0926,                  1.856,              0.0015927,              0.0015927,              0.0015927
                     12,                  1.872,                 1.7452,                 1.6858,                0.28792,                0.31427,                0.22702,                0.08566,                 2.2116,                 2.1363,                 1.9316,              0.0015845,              0.0015845,              0.0015845
                     13,                 1.8535,                 1.7304,                 1.6821,                0.30538,                0.33509,                0.24529,                0.09032,                 2.2205,                 2.0032,                 1.9351,              0.0015762,              0.0015762,              0.0015762
                     14,                 1.8487,                 1.7296,                 1.6755,                 0.3182,                0.31162,                0.24976,                0.08906,                 2.2243,                 2.0488,                 1.9459,               0.001568,               0.001568,               0.001568
                     15,                 1.8263,                 1.7151,                  1.669,                0.34918,                0.36305,                0.29203,                 0.1121,                 2.0806,                 1.9447,                 1.8515,              0.0015597,              0.0015597,              0.0015597
