                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1174,                 2.3999,                 1.9243,                0.31741,                0.30522,                0.23993,                0.09146,                 2.1109,                 2.4211,                 1.8655,              0.0033136,              0.0033136,              0.0033136
                      1,                 1.8799,                  1.792,                 1.7093,                0.32954,                0.30099,                0.26389,                0.10012,                 2.1149,                 1.9844,                 1.8509,               0.006625,               0.006625,               0.006625
                      2,                 1.9057,                 1.7841,                 1.6585,                0.23316,                0.32757,                0.22751,                0.08763,                 2.1748,                 2.1461,                 1.8326,              0.0099144,              0.0099144,              0.0099144
                      3,                  1.952,                 1.8339,                 1.6976,                0.36934,                0.28005,                0.25187,                0.09745,                 2.1884,                 2.1614,                 1.8875,               0.009901,               0.009901,               0.009901
                      4,                 1.9371,                 1.8027,                 1.6917,                0.28354,                0.31269,                0.22317,                0.08425,                 2.3257,                 2.1626,                 2.0043,               0.009901,               0.009901,               0.009901
                      5,                 1.9177,                 1.7738,                 1.6865,                0.32513,                0.35202,                0.27177,                 0.0979,                 2.2357,                 2.0784,                  1.875,               0.009868,               0.009868,               0.009868
                      6,                 1.8819,                 1.7377,                 1.6591,                0.34487,                0.36555,                0.27955,                0.11021,                 2.0788,                 1.9079,                 1.7887,               0.009835,               0.009835,               0.009835
                      7,                 1.8862,                   1.74,                 1.6684,                 0.2958,                0.23841,                0.19576,                0.07407,                 2.2978,                  2.333,                 1.8906,               0.009802,               0.009802,               0.009802
                      8,                 1.8576,                 1.6955,                 1.6511,                0.44967,                0.29013,                0.27329,                 0.1031,                 2.1734,                 2.1279,                 1.8635,               0.009769,               0.009769,               0.009769
                      9,                 1.8489,                 1.6549,                 1.6323,                0.33534,                 0.3355,                0.26579,                0.10515,                 2.1087,                 2.0284,                 1.7959,               0.009736,               0.009736,               0.009736
                     10,                 1.8224,                 1.6375,                 1.6213,                0.41242,                0.34115,                0.31779,                 0.1284,                 2.0692,                 1.8785,                 1.8161,               0.009703,               0.009703,               0.009703
                     11,                 1.8012,                 1.6159,                 1.6116,                0.35994,                0.35066,                0.28707,                0.11911,                 2.0692,                 1.8413,                 1.8211,                0.00967,                0.00967,                0.00967
                     12,                 1.8075,                 1.6008,                 1.6112,                0.35993,                0.37711,                0.31891,                0.12781,                 2.0262,                 1.8319,                 1.7862,               0.009637,               0.009637,               0.009637
                     13,                  1.786,                 1.5872,                 1.5975,                0.40439,                0.35374,                0.30804,                0.12356,                 2.0751,                 1.8168,                 1.8159,               0.009604,               0.009604,               0.009604
                     14,                  1.769,                 1.5527,                 1.5837,                0.39247,                0.34225,                0.29134,                0.11574,                  2.099,                 1.8793,                 1.8053,               0.009571,               0.009571,               0.009571
                     15,                 1.7631,                  1.535,                 1.5794,                0.40084,                0.39907,                0.34869,                0.14572,                 2.0607,                 1.7387,                 1.7629,               0.009538,               0.009538,               0.009538
                     16,                 1.7501,                 1.5013,                 1.5675,                0.40635,                0.40148,                0.32328,                0.12742,                 2.0498,                  1.802,                 1.7625,               0.009505,               0.009505,               0.009505
                     17,                 1.7253,                 1.4807,                 1.5545,                0.37694,                0.39514,                0.33263,                0.13002,                  2.049,                  1.798,                 1.7964,               0.009472,               0.009472,               0.009472
                     18,                 1.7221,                  1.477,                 1.5542,                 0.4075,                0.39631,                0.32078,                 0.1298,                 2.0584,                 1.7532,                 1.7939,               0.009439,               0.009439,               0.009439
                     19,                 1.6984,                 1.4293,                 1.5427,                0.38925,                0.40782,                0.33159,                0.13272,                 2.0505,                 1.7387,                 1.7749,               0.009406,               0.009406,               0.009406
                     20,                 1.7018,                 1.4387,                 1.5426,                0.39353,                0.35236,                0.29838,                0.11828,                 2.0136,                  1.966,                 1.7859,               0.009373,               0.009373,               0.009373
                     21,                 1.6775,                 1.3864,                 1.5249,                0.40331,                0.40751,                0.33785,                0.13393,                 2.0215,                 1.7508,                 1.7378,                0.00934,                0.00934,                0.00934
                     22,                 1.6622,                  1.387,                 1.5057,                0.40443,                0.38846,                0.32045,                 0.1347,                 2.0006,                 1.7839,                 1.7564,               0.009307,               0.009307,               0.009307
                     23,                 1.6396,                 1.3553,                 1.5016,                0.38436,                0.37143,                0.31561,                0.12959,                 2.0871,                 1.7734,                 1.8296,               0.009274,               0.009274,               0.009274
                     24,                 1.6564,                 1.3563,                 1.5174,                0.38369,                0.37792,                 0.3146,                0.12925,                 2.0526,                 1.7648,                 1.7856,               0.009241,               0.009241,               0.009241
                     25,                 1.6282,                 1.3351,                 1.4912,                0.36993,                0.40972,                0.32148,                0.12755,                 2.1181,                 1.7981,                 1.8012,               0.009208,               0.009208,               0.009208
                     26,                 1.6253,                 1.2944,                  1.487,                0.44423,                 0.3842,                0.32899,                0.13585,                 2.0336,                 1.7464,                 1.7886,               0.009175,               0.009175,               0.009175
                     27,                 1.5888,                 1.2665,                 1.4629,                0.41173,                0.36504,                0.31689,                0.12887,                 2.0539,                  1.782,                  1.811,               0.009142,               0.009142,               0.009142
                     28,                 1.6166,                 1.2871,                 1.4863,                0.41361,                0.38949,                0.32894,                0.13464,                 2.0754,                 1.7539,                 1.8194,               0.009109,               0.009109,               0.009109
                     29,                 1.5897,                 1.2475,                 1.4567,                0.41661,                0.38261,                0.32552,                0.13227,                 2.0861,                 1.7549,                 1.8271,               0.009076,               0.009076,               0.009076
                     30,                 1.5663,                 1.2316,                  1.443,                0.37014,                0.39568,                0.31606,                0.12675,                 2.0832,                 1.7717,                 1.8116,               0.009043,               0.009043,               0.009043
                     31,                 1.5609,                 1.2037,                 1.4401,                0.40225,                0.41452,                0.32264,                0.12767,                 2.1694,                 1.7192,                 1.8839,                0.00901,                0.00901,                0.00901
                     32,                 1.5436,                 1.1961,                 1.4248,                0.42014,                0.38774,                0.31495,                0.13037,                 2.1026,                 1.7889,                 1.8962,               0.008977,               0.008977,               0.008977
