                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0702,                 2.2014,                 1.7827,                0.24765,                0.29997,                0.17391,                0.06033,                 2.3748,                 2.5155,                 2.0415,             0.00055238,             0.00055238,             0.00055238
                      1,                 2.0094,                  1.898,                 1.7492,                 0.2464,                0.33161,                0.19698,                0.06383,                 2.4085,                 2.4365,                 2.1358,              0.0010861,              0.0010861,              0.0010861
                      2,                 2.0142,                 1.8806,                 1.7556,                0.31522,                0.30818,                0.22774,                0.08502,                 2.3165,                 2.1216,                 1.9874,              0.0015978,              0.0015978,              0.0015978
                      3,                 2.0098,                 1.8712,                 1.7475,                0.27447,                0.32087,                0.23369,                0.07496,                 2.3444,                 2.0932,                 1.9733,               0.001568,               0.001568,               0.001568
                      4,                 1.9726,                 1.8358,                  1.703,                0.35956,                0.32346,                0.25803,                 0.0941,                 2.1681,                 2.1063,                 1.8767,               0.001568,               0.001568,               0.001568
                      5,                 1.9395,                   1.81,                 1.6888,                0.34761,                0.36075,                0.27493,                0.09606,                 2.2492,                 2.1046,                  1.867,               0.001535,               0.001535,               0.001535
                      6,                 1.9004,                 1.7765,                 1.6639,                0.35094,                0.37559,                0.28902,                0.10968,                 2.1922,                 1.9563,                 1.8682,               0.001502,               0.001502,               0.001502
                      7,                 1.9031,                 1.7658,                 1.6712,                0.37666,                0.31627,                0.27407,                0.10535,                 2.1348,                 1.9898,                 1.8397,               0.001469,               0.001469,               0.001469
                      8,                 1.8782,                 1.7369,                  1.649,                0.35321,                0.33704,                0.27222,                0.10082,                 2.1822,                 1.9667,                 1.8649,               0.001436,               0.001436,               0.001436
                      9,                 1.8609,                 1.6967,                 1.6355,                0.35292,                0.34327,                 0.2739,                0.10234,                 2.1225,                 1.8888,                 1.8339,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.8461,                 1.6924,                 1.6249,                0.33661,                0.36908,                0.28621,                0.11518,                 2.0609,                 1.8744,                  1.774,              0.0013699,              0.0013699,              0.0013699
                     11,                  1.826,                 1.6647,                 1.6188,                0.35078,                0.35779,                0.29883,                0.11392,                 2.0769,                 1.8986,                  1.806,              0.0013369,              0.0013369,              0.0013369
                     12,                  1.827,                 1.6579,                 1.6134,                0.40122,                0.36329,                0.32481,                0.11925,                  2.055,                 1.8294,                 1.7816,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.8044,                 1.6518,                 1.5967,                0.39457,                0.38227,                0.32664,                0.13295,                 1.9957,                 1.8127,                  1.742,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.7965,                 1.6185,                 1.5899,                0.38147,                 0.3785,                0.30438,                0.11781,                 2.0299,                 1.8727,                 1.7836,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.7786,                 1.6094,                 1.5836,                0.37356,                0.37472,                 0.3041,                0.12265,                 2.0275,                 1.8039,                 1.7548,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.7699,                 1.5789,                  1.573,                0.36839,                0.38369,                0.31153,                0.12278,                 2.0524,                 1.8439,                 1.7814,              0.0011719,              0.0011719,              0.0011719
                     17,                  1.765,                 1.5786,                 1.5683,                0.38111,                0.41069,                0.32597,                0.12663,                 2.0482,                 1.8974,                 1.7728,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.7437,                 1.5625,                 1.5489,                0.40795,                0.37959,                0.31505,                0.12596,                 2.0734,                 1.8479,                 1.7726,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.7254,                 1.5187,                 1.5431,                0.36622,                0.38276,                0.32038,                0.12649,                 2.0446,                 1.8094,                 1.7885,              0.0010729,              0.0010729,              0.0010729
                     20,                  1.731,                 1.5274,                 1.5436,                0.38858,                0.38683,                0.31433,                0.12911,                 2.0029,                 1.7959,                 1.7665,              0.0010399,              0.0010399,              0.0010399
                     21,                 1.7032,                 1.4924,                 1.5271,                0.34142,                0.37704,                0.30923,                0.12484,                 2.0435,                 1.8192,                  1.751,              0.0010069,              0.0010069,              0.0010069
                     22,                  1.709,                 1.4739,                 1.5161,                0.41984,                0.39181,                0.34658,                 0.1388,                 1.9959,                 1.7553,                 1.7494,             0.00097386,             0.00097386,             0.00097386
                     23,                 1.6734,                 1.4472,                 1.5049,                0.42324,                0.40698,                0.34791,                0.14292,                 2.0384,                 1.7503,                 1.7913,             0.00094085,             0.00094085,             0.00094085
                     24,                  1.686,                 1.4538,                 1.5181,                0.38687,                0.40198,                0.32453,                 0.1324,                 1.9996,                  1.785,                 1.7706,             0.00090785,             0.00090785,             0.00090785
                     25,                 1.6548,                 1.4202,                 1.4983,                0.36063,                0.38768,                0.32179,                0.13724,                 1.9901,                 1.7934,                 1.7312,             0.00087484,             0.00087484,             0.00087484
