                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0057,                 2.7293,                 1.6313,                0.40449,                0.23312,                0.24169,                0.08971,                  2.218,                 2.1034,                 1.6947,              0.0033254,              0.0033254,              0.0033254
                      1,                 1.9459,                 1.9562,                 1.5292,                0.35061,                0.25817,                0.23195,                0.09459,                  2.167,                 2.2478,                 1.6511,              0.0065928,              0.0065928,              0.0065928
                      2,                 2.0027,                 1.9708,                 1.5818,                0.35081,                0.25599,                0.19061,                0.06727,                 2.3691,                 2.1865,                  1.826,              0.0097942,              0.0097942,              0.0097942
                      3,                 2.0631,                 2.0011,                 1.6181,                0.37849,                0.26334,                 0.2332,                0.09194,                 2.2764,                 2.2413,                 1.6828,               0.009703,               0.009703,               0.009703
                      4,                 2.0191,                 1.9311,                 1.5883,                0.37167,                0.32271,                0.25984,                0.10098,                  2.274,                 2.0305,                 1.7094,               0.009703,               0.009703,               0.009703
                      5,                 1.9719,                 1.8484,                 1.5619,                0.37514,                0.31209,                0.28235,                0.10778,                 2.2601,                 1.9917,                 1.7334,               0.009604,               0.009604,               0.009604
                      6,                 1.9501,                 1.7899,                 1.5378,                 0.4798,                0.29415,                0.30555,                0.13245,                 2.1477,                 1.8105,                 1.5951,               0.009505,               0.009505,               0.009505
                      7,                  1.941,                 1.7682,                 1.5363,                0.45417,                0.32462,                0.31597,                 0.1264,                 2.1882,                  1.822,                 1.6615,               0.009406,               0.009406,               0.009406
                      8,                 1.8948,                 1.7038,                 1.5108,                0.44092,                0.32508,                0.29976,                0.11121,                 2.2205,                 1.9344,                 1.6712,               0.009307,               0.009307,               0.009307
                      9,                 1.9002,                 1.6968,                 1.5085,                   0.53,                0.33106,                0.33597,                0.13058,                 2.2262,                 1.8348,                 1.7039,               0.009208,               0.009208,               0.009208
                     10,                  1.877,                 1.6678,                 1.5009,                0.47122,                0.37745,                0.36125,                0.13545,                 2.2384,                 1.7454,                 1.6765,               0.009109,               0.009109,               0.009109
                     11,                 1.8527,                 1.6489,                 1.4944,                0.50127,                0.35866,                0.35335,                0.13979,                 2.1801,                 1.7341,                 1.6711,                0.00901,                0.00901,                0.00901
                     12,                 1.8403,                 1.6202,                 1.4817,                0.44735,                0.32952,                0.32757,                 0.1273,                 2.1905,                 1.7217,                 1.6549,               0.008911,               0.008911,               0.008911
                     13,                 1.8436,                 1.6097,                 1.4758,                0.49942,                0.33234,                0.33097,                 0.1414,                 2.1341,                 1.6902,                 1.5962,               0.008812,               0.008812,               0.008812
                     14,                 1.8289,                 1.5883,                 1.4711,                0.53558,                0.34274,                 0.3639,                0.13734,                 2.2021,                 1.7004,                 1.6507,               0.008713,               0.008713,               0.008713
                     15,                 1.8227,                 1.5726,                 1.4658,                0.53027,                0.37881,                0.37569,                0.15593,                 2.1056,                 1.6211,                 1.5736,               0.008614,               0.008614,               0.008614
                     16,                  1.804,                 1.5494,                 1.4575,                0.52553,                0.37582,                0.36601,                0.14959,                 2.0655,                 1.6498,                 1.5748,               0.008515,               0.008515,               0.008515
                     17,                 1.8029,                  1.538,                 1.4497,                0.44233,                 0.3695,                0.35804,                0.14724,                 2.1158,                  1.649,                 1.5596,               0.008416,               0.008416,               0.008416
                     18,                 1.7914,                 1.5247,                 1.4459,                0.46041,                0.37209,                0.36019,                0.14938,                  2.128,                 1.6281,                 1.5705,               0.008317,               0.008317,               0.008317
