                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8765,                 2.3148,                 1.6578,                 0.6276,                0.56177,                0.56669,                0.27096,                 1.8583,                 1.7736,                 1.5859,             0.00036928,             0.00036928,             0.00036928
                      1,                 1.8735,                   1.88,                 1.6389,                0.69945,                0.57143,                0.65417,                0.32007,                 1.7826,                 1.4446,                  1.535,             0.00072497,             0.00072497,             0.00072497
                      2,                 1.8544,                 1.8321,                 1.6332,                0.66632,                0.56303,                0.64001,                 0.3054,                 1.8508,                 1.4466,                 1.5305,               0.001066,               0.001066,               0.001066
                      3,                 1.8374,                  1.789,                 1.6128,                0.68566,                0.68431,                0.72555,                0.38241,                 1.6991,                 1.2997,                 1.4584,               0.001045,               0.001045,               0.001045
                      4,                 1.7985,                 1.6778,                 1.5776,                0.76385,                0.68067,                0.76237,                0.39676,                 1.6618,                 1.1381,                 1.3959,               0.001045,               0.001045,               0.001045
                      5,                 1.7509,                 1.6342,                 1.5495,                0.77306,                0.71566,                0.79463,                0.40535,                 1.7124,                 1.1074,                 1.4172,               0.001023,               0.001023,               0.001023
                      6,                 1.7395,                 1.5959,                 1.5425,                0.75552,                0.66667,                0.73518,                0.37985,                 1.6461,                 1.2211,                 1.3852,               0.001001,               0.001001,               0.001001
                      7,                 1.7103,                 1.5129,                 1.5145,                0.81093,                 0.7451,                0.81274,                0.43803,                 1.6125,                 1.0018,                 1.3734,             0.00097901,             0.00097901,             0.00097901
                      8,                 1.6681,                 1.4815,                 1.4863,                0.85226,                0.68908,                0.81467,                 0.4568,                 1.5439,                0.96807,                 1.3301,             0.00095702,             0.00095702,             0.00095702
                      9,                 1.6621,                 1.4436,                 1.4799,                0.86855,                0.72182,                0.83859,                0.47244,                 1.5802,                0.90911,                 1.3259,             0.00093502,             0.00093502,             0.00093502
                     10,                 1.6523,                 1.4279,                 1.4755,                0.78208,                0.71374,                0.79948,                0.45443,                 1.5569,                 1.0091,                 1.3179,             0.00091302,             0.00091302,             0.00091302
                     11,                 1.6264,                 1.3942,                 1.4559,                0.87063,                0.71635,                0.83892,                0.45831,                 1.5997,                0.93944,                 1.3206,             0.00089102,             0.00089102,             0.00089102
                     12,                 1.6111,                 1.3806,                 1.4504,                0.77756,                0.79552,                0.81594,                0.45837,                 1.5451,                0.93737,                 1.2953,             0.00086902,             0.00086902,             0.00086902
                     13,                 1.6006,                 1.3324,                 1.4392,                0.80222,                0.77871,                0.83966,                0.47603,                 1.5112,                0.90271,                 1.2845,             0.00084703,             0.00084703,             0.00084703
                     14,                 1.5919,                 1.3209,                 1.4316,                0.79622,                0.80392,                0.84087,                0.48484,                 1.4929,                0.87555,                  1.284,             0.00082503,             0.00082503,             0.00082503
                     15,                 1.5653,                 1.2785,                 1.4164,                0.83611,                0.76471,                0.85718,                0.49634,                 1.4984,                0.87784,                 1.2623,             0.00080303,             0.00080303,             0.00080303
                     16,                 1.5625,                 1.2879,                 1.4116,                0.79991,                0.77311,                0.84804,                0.49204,                 1.4758,                0.87706,                 1.2549,             0.00078103,             0.00078103,             0.00078103
                     17,                 1.5458,                 1.2617,                 1.4071,                0.79656,                0.81513,                0.85777,                0.51186,                 1.4441,                0.84261,                 1.2247,             0.00075904,             0.00075904,             0.00075904
                     18,                  1.531,                 1.2343,                 1.3969,                0.86785,                0.78992,                0.87705,                0.51415,                 1.4675,                0.82853,                 1.2564,             0.00073704,             0.00073704,             0.00073704
